action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,noir,history,horror,musical,mystery,romance,sci fi,short Film,sport,superhero,thriller,war,western,wikipedia_movie_id,mean_male_actor_age,mean_female_actor_age,average_number_of_films_actors_played_in,percent_female_cast,compound,experiment_scientist_power_creature,body_vampire_child_night,money_steal_prisoner_bank_drug,team_game_coach_player,ship_alien_earth_attack,murder_police_gang_fight_crime,agent_shoot_military_bomb,band_family_show_music_dream,family_father_mother_daughter_wedding,home_school_night_parent_party_decide,escape_camp_attack_truck,movie_woman_play_character_role,averageRating,movie_release_date
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28388755,45.75,37.0,7.428571428571429,0.42857142857142855,-0.0846,0.0,0.0,0.0,0.127360999584198,0.0,0.0,0.0,0.8329349756240845,0.0,0.0,0.0,0.0,6.2,2010.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2121431,24.5,31.25,16.166666666666668,0.6666666666666666,0.7579,0.0,0.1556369960308075,0.0,0.0,0.0192709993571043,0.0,0.05791499838232994,0.1468919962644577,0.010587000288069248,0.6071439981460571,0.0,0.0,6.6,1997.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24048171,45.8,47.0,22.714285714285715,0.2857142857142857,0.34,0.013895000331103802,0.013895000331103802,0.6973599791526794,0.013895000331103802,0.013895000331103802,0.013895000331103802,0.013895000331103802,0.013895000331103802,0.1636900007724762,0.013895000331103802,0.013895000331103802,0.013895999640226364,4.5,2005.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36406869,40.68817498246853,63.0,2.0,1.0,-0.997,0.13372699916362762,0.5905219912528992,0.0,0.0,0.0,0.0,0.0,0.029174000024795532,0.0,0.1266070008277893,0.11615200340747833,0.0,4.9,2010.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30160141,41.833333333333336,34.75740314880939,14.0,0.0,-0.826,0.0,0.0,0.0,0.0,0.0,0.5160070061683655,0.42841601371765137,0.0,0.0,0.0,0.0,0.0,3.4,1990.0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5565338,46.0,34.0,12.777777777777779,0.2222222222222222,0.991,0.0,0.0,0.1320910006761551,0.18622300028800964,0.0,0.0,0.05792500078678131,0.5765039920806885,0.0,0.0,0.0,0.03558799996972084,4.8,1983.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24813200,40.68817498246853,37.5,2.5,1.0,0.959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9601140022277832,0.0,0.0,0.0,0.0,4.4,2006.0
1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28692419,54.75,29.666666666666668,20.857142857142858,0.42857142857142855,-0.9231,0.22759099304676056,0.20882099866867065,0.42949798703193665,0.0,0.11323100328445435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2006.0
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5682615,37.5,32.0,7.0,0.3333333333333333,0.9442,0.04524900019168854,0.0,0.0,0.0,0.19266100227832794,0.0,0.6435319781303406,0.0,0.0,0.0,0.0,0.10048799961805344,4.8,1985.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3059075,39.8,45.5,8.857142857142858,0.2857142857142857,0.7845,0.0,0.0,0.0,0.12265700101852417,0.0,0.0,0.4595009982585907,0.40253201127052307,0.0,0.0,0.0,0.0,6.9,1992.0
